College Code,College Name
C401,ACHARYA INSTITUTE OF MANAGEMENT AND SCIENCES PEENYA BANGALORE 
C402,ACHARYA INSTITUTE OF GRADUATE STUDIES DR SARVEPALLI RADHAKRISHNAN ROAD SOLADEVANAHALLI 
C403,ADMINISTRATIVE MANAGEMENT COLLEGE 
C406,AMC ENGINEERING COLLEGE 
C407,ANGADI INSTITUTE OF TECHNOLOGY AND MANAGEMENT SAVAGAON ROAD BELGAUM 
C408,B V V SANGHA'S BASAVESHWAR ENGINEERING COLLEGE NIJALINGAPPA ROAD BAGALKOTE 
C409,B L D E A'S V P DR P G HALAKATTI COLLEGE OF ENGG & TECH ASHRAM ROAD BIJAPUR 
C410,BALLARI INSTITUTE OF TECHNOLOGY & MANAGEMENT FORMERLY BELLARY ENGINEERING COLLEGE BELLARY 
C411,BANGALORE INSTITUTE OF TECHNOLOGY K R ROAD V V PURAM BANGALORE 
C412,BANGALORE UNIVERSITY JNANA BHARATHI CAMPUS BANGALORE 
C413,BAPUJI INSTITUTE OF ENGINEERING & TECHNOLOGY P B NO 
C414,BMS COLLEGE OF ENGINEERING POST BOX NO 
C415,BMS INSTITUTE OF TECHNOLOGY & MANAGEMENT POST BOX NO 
C416,BRINDAVAN COLLEGE DWARAKANAGARA BAGALUR MAIN ROAD BANGALORE 
C417,CAMBRIDGE INSTITUTE OF TECHNOLOGY K R PURAM BANGALORE 
C418,CITY COLLEGE 
C420,CMR INSTITUTE OF TECHNOLOGY 
C421,DAYANANDA SAGAR COLLEGE OF ARTS SCIENCE & COMMERCE SHAVIGE MALLESHWARA HILLS KUMARASWAMY LAYOUT BAN 
C422,DAYANANDA SAGAR COLLEGE OF ENGINEERING SHAVIGE MALLESHWARA HILLS KUMARASWAMY LAYOUT BAN 
C423,DEPARTMENT OF COMPUTER SCIENCE GULBARGA UNIVERSITY JNANA GANGA CAMPUR GULBARGA 
C425,DR AMBEDKAR INSTITUTE OF TECHNOLOGY OUTER RING ROAD BANGALORE 
C426,EAST WEST COLLEGE OF MANAGEMENT MCA 
C428,EAST WEST INSTITUTE OF TECHNOLOGY SY NO 
C430,JAIN COLLEGE OF ENGINEERING T S NAGAR MACHCHE BELGAUM 
C432,JYOTI NIVAS COLLEGE FOR WOMENS MCA HOSUR ROAD BANGALORE 
C433,K L E TECHNOLOGICAL UNIVERSITY Belgaum campus Formerly K L E Dr M S Shesha BELGAUM 
C434,K L S GOGTE INSTITUTE OF TECHNOLOGY JNAN GANGA UDYAMBAG BELGAUM 
C438,KLE SOCIETY'S S NIJALINGAPPA COLLEGE 
C439,K L E TECHNOLOGICAL UNIVERSITY HUBLI 
C440,KRISTU JAYANTI COLLEGE OF MANAGEMENT AND TECHNOLOGY MCA K NARAYANAPURA BANGALORE 
C441,KRUPANIDHI COLLEGE OF MANAGEMENT NO 
C445,M S RAMAIAH INSTITUTE OF TECHNOLOGY MCA VIDYA SOUDHA MSRIT POST BANGALORE 
C446,MAHARAJA INSTITUTE OF TECHNOLOGY BEHIND K R MILLS BELAWADI VILLAGE NAGUVANAHALLI PA 
C449,GLOBAL INSTITUTE OF MANAGEMENT SCIENCE IDEAL HOMES TOWNSHIP R R NAGAR BANGALORE 
C451,MOUNT CARMEL COLLEGE FOR WOMENS NO 
C453,NEW HORIZON COLLEGE OF ENGINEERING M&T RING ROAD NEAR MARATHALLI BELLANDUR POST BANGALO 
C454,NITTE MEENAKSHI INSTITUTE OF TECHNOLOGY GOLLAHALLI GOVINDAPURA P B NO 
C456,P E S COLLEGE OF ENGINEERING MANDYA 
C457,PES UNIVERSITY RING ROAD CAMPUS BANGALORE 
C461,PRESIDENCY COLLEGE NO 
C463,R V COLLEGE OF ENGINEERING R V VIDYANIKETAN POST MYSORE ROAD BANGALORE 
C464,RAJARAJESWARI COLLEGE OF ENGINEERING 
C466,REVA UNIVERSITY BANGALORE 
C468,RNS INSTITUTE OF TECHNOLOGY CHANNASANDRA BANGALORE 
C469,BHEEMANNA KHANDRE INSTITUTE OF TECHNOLOGY BHALKI 
C472,SAMBHRAM ACADEMY OF MANAGEMENT STUDIES JOTHI NAGAR JALAHALLI EAST BANGALORE Note
C474,SBRR MAHAJANA FIRST GRADE COLLEGE PG WING METAGALLI KRS ROAD MYSORE 
C476,SHREE DEVI INSTITUTE OF TECHNOLOGY AIRPORT ROAD KENJAR VILLAGE MANGALORE 
C477,SIDDAGANGA INSTITUTE OF TECHNOLOGY B H ROAD TUMKUR 
C478,SIR M VISVESVARAYA INSTITUTE OF TECHNOLOGY KRISHNADEVARAYA NAGAR HUNASAMARANAHALLI BANGALO 
C480,JSS SCIENCE AND TECHNLOGY UNIVERSITY JSS TECHNICAL INSTITUTIONS CAMPUS MYSORE 
C481,SRINIVASA UNIVERSITY MANGALORE 
C482,SRINIVAS INSTITUTE OF TECHNOLOGY ARKURLA VILLAGE FARANGIPETE POST MANGALORE 
C483,ST ALOYSIUS COLLEGE ST ALOYSIUS INSTITUTE OF MANAGEMENT & INFORMATION TECHN MANGALORE 
C484,ST JOSEPH ENGINEERING COLLEGE MANGALORE 
C485,SURANA COLLEGE AUTONOMOUS NO 
C486,T JOHN COLLEGE 
C487,T JOHN INSTITUTE OF TECHNOLOGY 
C488,THE NATIONAL INSTITUTE OF ENGINEERING NORTH CAMPUS SY NO 
C489,THE OXFORD COLLEGE OF ENGINEERING MCA HOSUR ROAD BOMMANAHALLI BANGALORE 
C490,THE OXFORD COLLEGE OF SCIENCE H S R LAYOUTI BANGALORE 
C494,VIDYA VIKAS INSTITUTE OF ENGINEERING & TECHNOLOGY 
C495,VISVESVARAYA TECHNOLOGICAL UNIVERSITY BELGAUM 
C496,VTU PG CENTRE VISVESVARAYA INSTITUTE OF ADVANCE TECHNOLOGY CENTRE VIAT MUDHENNA HALLI CHIKKABALLAPUR 
C497,VISVESVARAYA TECHNOLOGICAL UNIVERSITY CENTRE FOR POST GRADUATE STUDIES MYSORE 
C498,VISVESVARAYA TECHNOLOGICAL UNIVERSITY VTU CPGS & REGIONAL OFFICE KUSNOOR ROAD KALABURA 
C500,SRI SIDDHARTHA ACADEMY OF HIGHER EDUCATION MARALUR TUMKUR 
C501,JAWHARLAL NEHRU NEW COLLEGE OF ENGINEERING SHIMOGA 
C503,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY AND MANAGEMENT UDAYA PURA KANAKAPURA ROAD BANGALORE 
C504,K L E INSTITUTE OF TECHNOLOGY OPPOSITE TO AIRPORT GOKUL HUBLI 
C508,BRINDAVAN COLLEGE OF ENGINEERING YELAHANKA BANGALORE 
C511,RANI CHANNAMMA UNIVERSITY BELGAUM 
C514,SHARANBASVA UNIVERSITY KALABURAGI 
C516,ST FRANCIS COLLEGE 
C517,ATRIA INSTITUTE OF TECHNOLOGY ASKB CAMPUS AG'S COLONY 
C518,VIVEKANANDA COLLEGE OF ENGINEERING AND TECHNOLOGY NEHARU NAGARA PUTTUR 
C519,JSS COLLEGE OF ARTS COMMERCE AND SCIENCE OOTY ROAD MYSORE 
C520,DAYANANDA SAGAR UNIVERSITY BANGALORE 
C521,CMR UNIVERSITY OFF HENNUR BAGALUR MAIN ROAD CHAGALATTI BANGALORE 
C522,SRI JAYACHAMARAJENDRA COLLEGE OF ENGINEERING MYSORE 
C523,TUMKUR UNIVERSITY PG CENTRE TIPTUR TUMKUR 
