College Code,College Name
C401MC,ACHARYA INSTITUTE OF MANAGEMENT AND SCIENCES PEENYA BANGALORE 
C402MC,ACHARYA INSTITUTE OF GRADUATE STUDIES DR SARVEPALLI RADHAKRISHNAN ROAD SOLADEVANAHALLI 
C403MC,ADMINISTRATIVE MANAGEMENT COLLEGE 
C406MC,AMC ENGINEERING COLLEGE 
C407MC,ANGADI INSTITUTE OF TECHNOLOGY AND MANAGEMENT SAVAGAON ROAD BELGAUM 
C408MC,B V V SANGHA'S BASAVESHWAR ENGINEERING COLLEGE NIJALINGAPPA ROAD BAGALKOTE 
C409MC,B L D E A'S V P DR P G HALAKATTI COLLEGE OF ENGG & TECH ASHRAM ROAD BIJAPUR 
C410MC,BALLARI INSTITUTE OF TECHNOLOGY & MANAGEMENT FORMERLY BELLARY ENGINEERING COLLEGE BELLARY 
C411MC,BANGALORE INSTITUTE OF TECHNOLOGY K R ROAD V V PURAM BANGALORE 
C412MC,BANGALORE UNIVERSITY JNANA BHARATHI CAMPUS BANGALORE 
C413MC,BAPUJI INSTITUTE OF ENGINEERING & TECHNOLOGY P B NO 
C414MC,BMS COLLEGE OF ENGINEERING POST BOX NO 
C415MC,BMS INSTITUTE OF TECHNOLOGY & MANAGEMENT POST BOX NO 
C416MC,BRINDAVAN COLLEGE DWARAKANAGARA BAGALUR MAIN ROAD BANGALORE 
C417MC,CAMBRIDGE INSTITUTE OF TECHNOLOGY K R PURAM BANGALORE 
C418MC,CITY COLLEGE 
C420MC,CMR INSTITUTE OF TECHNOLOGY 
C421MC,DAYANANDA SAGAR COLLEGE OF ARTS SCIENCE & COMMERCE SHAVIGE MALLESHWARA HILLS KUMARASWAMY LAYOUT BAN 
C422MC,DAYANANDA SAGAR COLLEGE OF ENGINEERING SHAVIGE MALLESHWARA HILLS KUMARASWAMY LAYOUT BAN 
C423MC,DEPARTMENT OF COMPUTER SCIENCE GULBARGA UNIVERSITY JNANA GANGA CAMPUR GULBARGA 
C425MC,DR AMBEDKAR INSTITUTE OF TECHNOLOGY OUTER RING ROAD BANGALORE 
C426MC,EAST WEST COLLEGE OF MANAGEMENT MCA 
C428MC,EAST WEST INSTITUTE OF TECHNOLOGY SY NO 
C430MC,JAIN COLLEGE OF ENGINEERING T S NAGAR MACHCHE BELGAUM 
C432MC,JYOTI NIVAS COLLEGE FOR WOMENS MCA HOSUR ROAD BANGALORE 
C433MC,K L E TECHNOLOGICAL UNIVERSITY Belgaum campus Formerly K L E Dr M S Shesha BELGAUM 
C434MC,K L S GOGTE INSTITUTE OF TECHNOLOGY JNAN GANGA UDYAMBAG BELGAUM 
C438MC,KLE SOCIETY'S S NIJALINGAPPA COLLEGE 
C439MC,K L E TECHNOLOGICAL UNIVERSITY HUBLI 
C440MC,KRISTU JAYANTI COLLEGE OF MANAGEMENT AND TECHNOLOGY MCA K NARAYANAPURA BANGALORE 
C441MC,KRUPANIDHI COLLEGE OF MANAGEMENT NO 
C445MC,M S RAMAIAH INSTITUTE OF TECHNOLOGY MCA VIDYA SOUDHA MSRIT POST BANGALORE 
C446MC,MAHARAJA INSTITUTE OF TECHNOLOGY BEHIND K R MILLS BELAWADI VILLAGE NAGUVANAHALLI PA 
C449MC,GLOBAL INSTITUTE OF MANAGEMENT SCIENCE IDEAL HOMES TOWNSHIP R R NAGAR BANGALORE 
C451MC,MOUNT CARMEL COLLEGE FOR WOMENS NO 
C453MC,NEW HORIZON COLLEGE OF ENGINEERING M&T RING ROAD NEAR MARATHALLI BELLANDUR POST BANGALO 
C454MC,NITTE MEENAKSHI INSTITUTE OF TECHNOLOGY GOLLAHALLI GOVINDAPURA P B NO 
C456MC,P E S COLLEGE OF ENGINEERING MANDYA 
C457MC,PES UNIVERSITY RING ROAD CAMPUS BANGALORE 
C461MC,PRESIDENCY COLLEGE NO 
C463MC,R V COLLEGE OF ENGINEERING R V VIDYANIKETAN POST MYSORE ROAD BANGALORE 
C464MC,RAJARAJESWARI COLLEGE OF ENGINEERING 
C466MC,REVA UNIVERSITY BANGALORE 
C468MC,RNS INSTITUTE OF TECHNOLOGY CHANNASANDRA BANGALORE 
C469MC,BHEEMANNA KHANDRE INSTITUTE OF TECHNOLOGY BHALKI 
C472MC,SAMBHRAM ACADEMY OF MANAGEMENT STUDIES JOTHI NAGAR JALAHALLI EAST BANGALORE Note
C474MC,SBRR MAHAJANA FIRST GRADE COLLEGE PG WING METAGALLI KRS ROAD MYSORE 
C476MC,SHREE DEVI INSTITUTE OF TECHNOLOGY AIRPORT ROAD KENJAR VILLAGE MANGALORE 
C477MC,SIDDAGANGA INSTITUTE OF TECHNOLOGY B H ROAD TUMKUR 
C478MC,SIR M VISVESVARAYA INSTITUTE OF TECHNOLOGY KRISHNADEVARAYA NAGAR HUNASAMARANAHALLI BANGALO 
C480MC,JSS SCIENCE AND TECHNLOGY UNIVERSITY JSS TECHNICAL INSTITUTIONS CAMPUS MYSORE 
C481MC,SRINIVASA UNIVERSITY MANGALORE 
C482MC,SRINIVAS INSTITUTE OF TECHNOLOGY ARKURLA VILLAGE FARANGIPETE POST MANGALORE 
C483MC,ST ALOYSIUS COLLEGE ST ALOYSIUS INSTITUTE OF MANAGEMENT & INFORMATION TECHN MANGALORE 
C484MC,ST JOSEPH ENGINEERING COLLEGE MANGALORE 
C485MC,SURANA COLLEGE AUTONOMOUS NO 
C486MC,T JOHN COLLEGE 
C487MC,T JOHN INSTITUTE OF TECHNOLOGY 
C488MC,THE NATIONAL INSTITUTE OF ENGINEERING NORTH CAMPUS SY NO 
C489MC,THE OXFORD COLLEGE OF ENGINEERING MCA HOSUR ROAD BOMMANAHALLI BANGALORE 
C490MC,THE OXFORD COLLEGE OF SCIENCE H S R LAYOUTI BANGALORE 
C494MC,VIDYA VIKAS INSTITUTE OF ENGINEERING & TECHNOLOGY 
C495MC,VISVESVARAYA TECHNOLOGICAL UNIVERSITY BELGAUM 
C496MC,VTU PG CENTRE VISVESVARAYA INSTITUTE OF ADVANCE TECHNOLOGY CENTRE VIAT MUDHENNA HALLI CHIKKABALLAPUR 
C497MC,VISVESVARAYA TECHNOLOGICAL UNIVERSITY CENTRE FOR POST GRADUATE STUDIES MYSORE 
C498MC,VISVESVARAYA TECHNOLOGICAL UNIVERSITY VTU CPGS & REGIONAL OFFICE KUSNOOR ROAD KALABURA 
C500MC,SRI SIDDHARTHA ACADEMY OF HIGHER EDUCATION MARALUR TUMKUR 
C501MC,JAWHARLAL NEHRU NEW COLLEGE OF ENGINEERING SHIMOGA 
C503MC,DAYANANDA SAGAR ACADEMY OF TECHNOLOGY AND MANAGEMENT UDAYA PURA KANAKAPURA ROAD BANGALORE 
C504MC,K L E INSTITUTE OF TECHNOLOGY OPPOSITE TO AIRPORT GOKUL HUBLI 
C508MC,BRINDAVAN COLLEGE OF ENGINEERING YELAHANKA BANGALORE 
C511MC,RANI CHANNAMMA UNIVERSITY BELGAUM 
C514MC,SHARANBASVA UNIVERSITY KALABURAGI 
C516MC,ST FRANCIS COLLEGE 
C517MC,ATRIA INSTITUTE OF TECHNOLOGY ASKB CAMPUS AG'S COLONY 
C518MC,VIVEKANANDA COLLEGE OF ENGINEERING AND TECHNOLOGY NEHARU NAGARA PUTTUR 
C519MC,JSS COLLEGE OF ARTS COMMERCE AND SCIENCE OOTY ROAD MYSORE 
C520MC,DAYANANDA SAGAR UNIVERSITY BANGALORE 
C521MC,CMR UNIVERSITY OFF HENNUR BAGALUR MAIN ROAD CHAGALATTI BANGALORE 
C522MC,SRI JAYACHAMARAJENDRA COLLEGE OF ENGINEERING MYSORE 
C523MC,TUMKUR UNIVERSITY PG CENTRE TIPTUR TUMKUR 
