College Code,1G,1H,2AG,2AH,2BG,2BH,3AG,3AH,3BG,3BH,GM,GMH,NKN,PH,SCG,SCH,STG,STH,XD,Total Seats
C412MC,2,0,8,1,2,1,2,0,2,0,23,2,0,3,9,1,4,0,0,60
C423MC,1,2,2,4,1,1,0,2,0,1,6,13,0,2,2,5,1,2,0,45
C495MC,7,1,23,2,6,1,6,0,8,1,69,6,0,9,26,2,11,1,1,180
C496MC,4,0,16,1,4,0,5,0,5,1,46,4,0,6,17,2,7,1,1,120
C497MC,4,0,16,1,4,0,4,0,6,1,46,4,0,6,18,2,7,1,0,120
C498MC,1,3,5,12,1,3,1,4,2,4,15,35,0,6,6,13,3,5,1,120
C511MC,1,0,5,0,1,1,2,1,2,0,16,1,0,2,6,0,2,0,0,40
C523MC,2,0,8,1,2,0,2,0,2,1,23,2,0,3,9,1,4,0,0,60
C525MC,2,0,8,1,2,0,2,0,3,0,23,2,0,3,9,1,4,0,0,60
C529MC,1,1,2,6,1,2,1,1,1,2,7,18,0,3,3,7,1,3,0,60
C531MC,2,0,5,1,2,1,1,0,2,0,15,1,0,2,6,0,2,0,0,40
C558MC,2,0,5,0,2,0,1,1,2,0,15,2,0,2,6,0,2,0,0,40
C560MC,4,0,15,1,4,0,5,0,5,1,46,4,0,6,18,2,7,1,1,120
C561MC,2,0,8,1,2,0,2,0,2,0,23,2,0,3,9,1,4,1,0,60
C562MC,2,0,8,1,2,0,2,0,3,0,23,2,0,3,9,1,4,0,0,60
C563MC,2,0,8,1,2,0,2,0,2,0,23,2,0,3,9,1,4,1,0,60
C564MC,1,1,5,0,2,0,2,1,2,0,15,1,0,2,6,0,2,0,0,40
C565MC,1,0,4,0,1,0,1,1,1,0,12,1,0,2,4,0,2,0,0,30
C566MC,2,0,8,1,2,0,2,0,3,0,23,2,0,3,9,1,4,0,0,60
C571MC,2,1,8,1,2,0,2,0,2,0,23,2,0,3,9,1,4,0,0,60
C580MC,0,2,3,6,0,2,1,1,1,2,8,17,0,3,3,7,1,3,0,60
C401MC,1,0,4,0,1,1,1,0,1,0,12,1,0,1,5,0,2,0,0,30
C402MC,2,0,8,1,2,0,2,0,3,0,23,2,0,3,9,1,3,1,0,60
C403MC,2,0,8,1,2,0,2,0,2,0,23,3,0,3,9,1,4,0,0,60
C407MC,0,0,2,0,0,0,1,0,1,0,6,1,0,1,2,0,1,0,0,15
C408MC,1,0,4,0,1,0,1,0,1,0,12,1,0,1,5,1,2,0,0,30
C409MC,1,1,4,0,1,0,1,0,1,0,12,1,0,1,5,0,2,0,0,30
C410MC,1,1,2,6,1,1,1,2,1,2,7,17,0,3,3,7,1,3,1,60
C416MC,2,0,6,1,1,0,1,0,2,0,18,1,0,2,7,1,3,0,0,45
C417MC,2,0,8,1,2,1,2,0,2,0,23,2,0,3,9,1,4,0,0,60
C418MC,2,0,8,1,2,0,2,0,2,1,23,2,0,3,9,1,4,0,0,60
C421MC,2,1,8,1,2,0,2,0,3,0,23,2,0,3,9,1,3,0,0,60
C422MC,2,0,8,1,2,0,2,0,3,0,23,2,0,3,9,1,4,0,0,60
C425MC,1,0,4,0,1,0,1,1,1,0,12,1,0,1,5,0,2,0,0,30
C426MC,2,0,8,1,2,0,2,0,3,1,23,2,0,3,9,1,3,0,0,60
C430MC,2,0,7,1,2,0,2,0,3,0,23,2,0,3,9,1,4,1,0,60
C432MC,1,0,3,0,1,1,1,0,1,0,9,1,0,1,3,0,1,0,0,23
C434MC,2,0,8,1,2,0,2,0,3,1,23,2,0,3,9,1,3,0,0,60
C438MC,1,0,2,0,1,0,1,0,1,0,8,1,0,1,3,0,1,0,0,20
C440MC,3,0,11,1,4,0,3,0,4,1,34,3,0,5,13,1,5,1,1,90
C441MC,2,0,8,1,2,0,2,0,3,1,23,2,0,3,9,1,3,0,0,60
C445MC,2,0,8,1,2,0,2,0,3,0,23,2,0,3,9,1,3,1,0,60
