College Code,1G,1H,2AG,2AH,2BG,2BH,3AG,3AH,3BG,3BH,GM,GMH,NKN,PH,SCG,SCH,STG,STH,XD,Total
C412MC,0,0,4,1,0,1,0,0,0,0,0,2,0,2,7,0,0,0,0,17
C423MC,0,0,0,3,0,1,0,1,0,0,0,9,0,2,1,4,0,2,0,23
C495MC,0,0,15,2,3,0,3,0,4,1,0,5,0,7,20,2,6,0,0,68
C496MC,0,0,11,0,0,0,3,0,3,1,0,3,0,5,11,2,3,0,0,42
C497MC,0,0,12,0,0,0,2,0,4,1,0,3,0,5,14,2,3,1,0,47
C498MC,0,0,2,9,0,2,0,0,1,3,0,27,0,5,5,10,0,3,0,67
C511MC,0,0,3,0,0,0,0,1,1,0,0,1,0,2,2,0,0,0,0,10
C523MC,0,0,3,0,0,0,0,0,1,1,0,2,0,3,3,0,2,0,0,15
C525MC,0,0,3,0,0,0,0,0,0,0,0,2,0,3,6,1,0,0,0,15
C529MC,0,0,1,3,0,2,0,0,1,1,0,14,0,2,2,6,0,3,0,35
C531MC,0,0,2,0,0,0,0,0,1,0,0,1,0,2,3,0,1,0,0,10
C558MC,0,0,1,0,0,0,0,0,0,0,0,2,0,2,5,0,0,0,0,10
C560MC,0,0,11,1,0,0,0,0,3,1,0,3,0,5,13,2,5,1,1,46
C561MC,0,0,6,0,0,0,0,0,1,0,0,2,0,3,5,1,1,1,0,20
C562MC,0,0,3,0,0,0,0,0,3,0,0,1,0,2,4,1,3,0,0,17
C563MC,0,0,1,0,0,0,0,0,1,0,0,1,0,3,6,1,1,0,0,14
C564MC,0,0,0,0,0,0,0,0,1,0,0,1,0,2,4,0,0,0,0,8
C565MC,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,6
C566MC,0,0,6,1,0,0,0,0,0,0,0,2,0,3,5,1,3,0,0,21
C571MC,0,0,5,0,0,0,0,0,0,0,0,2,0,2,7,1,2,0,0,19
C580MC,0,0,0,5,0,2,0,1,0,2,0,12,0,3,0,6,0,3,0,34
C401MC,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,8
C402MC,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,0,0,1,0,10
C403MC,0,0,3,1,0,0,0,0,2,0,0,3,0,3,3,1,3,0,0,19
C407MC,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2
C408MC,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,0,0,6
C409MC,0,0,2,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,8
C410MC,0,0,2,3,0,1,0,1,0,1,0,12,0,3,1,6,0,3,1,34
C416MC,0,0,1,1,0,0,0,0,2,0,0,1,0,2,4,0,1,0,0,12
C417MC,0,0,5,0,0,1,0,0,0,0,0,1,0,3,6,1,1,0,0,18
C418MC,0,0,2,1,0,0,0,0,0,1,0,2,0,2,5,1,1,0,0,15
C421MC,0,0,5,1,0,0,0,0,0,0,0,2,0,3,6,1,1,0,0,19
C422MC,0,0,5,0,0,0,0,0,2,0,0,0,0,3,5,0,2,0,0,17
C425MC,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,5
C426MC,0,0,6,0,0,0,0,0,1,1,0,2,0,3,6,1,3,0,0,23
C430MC,0,0,3,0,0,0,0,0,3,0,0,1,0,3,5,1,2,0,0,18
C432MC,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,5
C434MC,0,0,5,0,0,0,0,0,1,1,0,2,0,3,6,1,0,0,0,19
C438MC,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3
